開始日-終了日,作品名,制作会社,主放送局・系列,話数,放送期間,リンク
9月30日 - 12月23日,うちの師匠はしっぽがない,ライデンフィルム,TOKYO MXほか,全13話,2022年 7月 - 9月[編集],https://ja.wikipedia.org/wiki/%E3%81%86%E3%81%A1%E3%81%AE%E5%B8%AB%E5%8C%A0%E3%81%AF%E3%81%97%E3%81%A3%E3%81%BD%E3%81%8C%E3%81%AA%E3%81%84
10月1日 - 2023年3月25日,僕のヒーローアカデミア（第6期）,ボンズ,YTV,全25話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2_(%E3%82%A2%E3%83%8B%E3%83%A1)
10月1日 - 12月24日,SPY×FAMILY（Season 1 第2クール）,WIT STUDIO、CloverWorks,TX,全13話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/SPY%C3%97FAMILY
10月1日 - 12月17日,悪役令嬢なのでラスボスを飼ってみました,MAHO FILM,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E6%82%AA%E5%BD%B9%E4%BB%A4%E5%AC%A2%E3%81%AA%E3%81%AE%E3%81%A7%E3%83%A9%E3%82%B9%E3%83%9C%E3%82%B9%E3%82%92%E9%A3%BC%E3%81%A3%E3%81%A6%E3%81%BF%E3%81%BE%E3%81%97%E3%81%9F
10月1日 - 12月17日,農民関連のスキルばっか上げてたら何故か強くなった。,studio A-CAT,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E8%BE%B2%E6%B0%91%E9%96%A2%E9%80%A3%E3%81%AE%E3%82%B9%E3%82%AD%E3%83%AB%E3%81%B0%E3%81%A3%E3%81%8B%E4%B8%8A%E3%81%92%E3%81%A6%E3%81%9F%E3%82%89%E4%BD%95%E6%95%85%E3%81%8B%E5%BC%B7%E3%81%8F%E3%81%AA%E3%81%A3%E3%81%9F%E3%80%82
10月1日 - 12月24日,宇崎ちゃんは遊びたい!ω,ENGI,AT-Xほか,全13話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E5%AE%87%E5%B4%8E%E3%81%A1%E3%82%83%E3%82%93%E3%81%AF%E9%81%8A%E3%81%B3%E3%81%9F%E3%81%84!%CF%89
10月1日 - 12月24日,後宮の烏,BN Pictures,TOKYO MXほか,全13話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E5%BE%8C%E5%AE%AE%E3%81%AE%E7%83%8F
10月2日 - 12月18日,ポプテピピック TVアニメーション作品第二シリーズ,スペースネコカンパニー、神風動画,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%9D%E3%83%97%E3%83%86%E3%83%94%E3%83%94%E3%83%83%E3%82%AF_TV%E3%82%A2%E3%83%8B%E3%83%A1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E4%BD%9C%E5%93%81%E7%AC%AC%E4%BA%8C%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA
10月2日 - 12月25日,ベルセルク 黄金時代篇 MEMORIAL EDITION,STUDIO 4℃,TOKYO MXほか,全13話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%AB%E3%82%BB%E3%83%AB%E3%82%AF_%E9%BB%84%E9%87%91%E6%99%82%E4%BB%A3%E7%AF%87_MEMORIAL_EDITION
10月2日 - 2023年3月26日,ぷにるんず,OLM Digital,TVO,全25話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%81%B7%E3%81%AB%E3%82%8B%E3%82%93%E3%81%9A
10月2日 -[注12 1] 2023年1月8日,機動戦士ガンダム 水星の魔女（Season1）,サンライズ,MBS,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E6%A9%9F%E5%8B%95%E6%88%A6%E5%A3%AB%E3%82%AC%E3%83%B3%E3%83%80%E3%83%A0_%E6%B0%B4%E6%98%9F%E3%81%AE%E9%AD%94%E5%A5%B3
10月2日 - 12月25日,勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う,EMTスクエアード,TOKYO MXほか,全13話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E5%8B%87%E8%80%85%E3%83%91%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC%E3%82%92%E8%BF%BD%E6%94%BE%E3%81%95%E3%82%8C%E3%81%9F%E3%83%93%E3%83%BC%E3%82%B9%E3%83%88%E3%83%86%E3%82%A4%E3%83%9E%E3%83%BC%E3%80%81%E6%9C%80%E5%BC%B7%E7%A8%AE%E3%81%AE%E7%8C%AB%E8%80%B3%E5%B0%91%E5%A5%B3%E3%81%A8%E5%87%BA%E4%BC%9A%E3%81%86
10月2日 - 2023年2月26日,アイドリッシュセブン Third BEAT!（第2クール）,TROYCA,TOKYO MXほか,全17話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%82%BB%E3%83%96%E3%83%B3_Third_BEAT!
10月3日 -,ゴールデンカムイ（第4期）,ブレインズ・ベース,TOKYO MXほか,全13話（予定）,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E3%82%AB%E3%83%A0%E3%82%A4
10月3日 - 12月5日,ハーレムきゃんぷっ!,studio HōKIBOSHI,TOKYO MXほか,全8話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%BC%E3%83%AC%E3%83%A0%E3%81%8D%E3%82%83%E3%82%93%E3%81%B7%E3%81%A3!
10月3日 - 12月19日,新米錬金術師の店舗経営,ENGI,AT-Xほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E6%96%B0%E7%B1%B3%E9%8C%AC%E9%87%91%E8%A1%93%E5%B8%AB%E3%81%AE%E5%BA%97%E8%88%97%E7%B5%8C%E5%96%B6
10月3日 -,まめきちまめこニートの日常,手塚プロダクション,CX,,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%81%BE%E3%82%81%E3%81%8D%E3%81%A1%E3%81%BE%E3%82%81%E3%81%93%E3%83%8B%E3%83%BC%E3%83%88%E3%81%AE%E6%97%A5%E5%B8%B8
10月4日 - 12月20日,名探偵コナン 犯人の犯沢さん,TMS/第1スタジオ,TOKYO MX、YTV,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3_%E7%8A%AF%E4%BA%BA%E3%81%AE%E7%8A%AF%E6%B2%A2%E3%81%95%E3%82%93
10月4日 - 12月20日,忍の一時,TROYCA,AT-Xほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E5%BF%8D%E3%81%AE%E4%B8%80%E6%99%82
10月5日 - 2023年2月15日,陰の実力者になりたくて!（第1期）,Nexus,AT-Xほか,全20話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E9%99%B0%E3%81%AE%E5%AE%9F%E5%8A%9B%E8%80%85%E3%81%AB%E3%81%AA%E3%82%8A%E3%81%9F%E3%81%8F%E3%81%A6!
10月5日 - 2023年3月29日,おばけずかん!,ファンワークス,TX,全13話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%B0%E3%81%91%E3%81%9A%E3%81%8B%E3%82%93!
10月5日 - 12月21日,不徳のギルド,ティー・エヌ・ケー,AT-Xほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E4%B8%8D%E5%BE%B3%E3%81%AE%E3%82%AE%E3%83%AB%E3%83%89
10月5日 - 12月28日,VAZZROCK THE ANIMATION,ピー・アール・エー,TOKYO MXほか,全13話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/VAZZROCK_THE_ANIMATION
10月5日 - 12月21日,転生したら剣でした（第1期）,C2C,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E8%BB%A2%E7%94%9F%E3%81%97%E3%81%9F%E3%82%89%E5%89%A3%E3%81%A7%E3%81%97%E3%81%9F
10月5日 - 12月21日,ヤマノススメ Next Summit,エイトビット,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%A4%E3%83%9E%E3%83%8E%E3%82%B9%E3%82%B9%E3%83%A1_Next_Summit
10月5日 - 12月21日,ヒューマンバグ大学 -不死学部不幸学科-,DLE,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%92%E3%83%A5%E3%83%BC%E3%83%9E%E3%83%B3%E3%83%90%E3%82%B0%E5%A4%A7%E5%AD%A6_-%E4%B8%8D%E6%AD%BB%E5%AD%A6%E9%83%A8%E4%B8%8D%E5%B9%B8%E5%AD%A6%E7%A7%91-
10月6日 - 12月22日,虫かぶり姫,マッドハウス,AT-Xほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E8%99%AB%E3%81%8B%E3%81%B6%E3%82%8A%E5%A7%AB
10月6日 - 12月22日,モブサイコ100 III,ボンズ,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%A2%E3%83%96%E3%82%B5%E3%82%A4%E3%82%B3100_III
10月6日 - 12月29日,シルバニアファミリー フレアのハッピーダイアリー,LandQ Studios,TOKYO MXほか,全13話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%AB%E3%83%90%E3%83%8B%E3%82%A2%E3%83%95%E3%82%A1%E3%83%9F%E3%83%AA%E3%83%BC_%E3%83%95%E3%83%AC%E3%82%A2%E3%81%AE%E3%83%8F%E3%83%83%E3%83%94%E3%83%BC%E3%83%80%E3%82%A4%E3%82%A2%E3%83%AA%E3%83%BC
10月6日 - 12月22日,マブラヴ オルタネイティヴ（第二期）,FLAGSHIP LINE、ゆめ太カンパニー、グラフィニカ,CX,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%96%E3%83%A9%E3%83%B4_%E3%82%AA%E3%83%AB%E3%82%BF%E3%83%8D%E3%82%A4%E3%83%86%E3%82%A3%E3%83%B4
10月6日 - 12月22日,Do It Yourself!! -どぅー・いっと・ゆあせるふ-,PINE JAM,TX,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/Do_It_Yourself!!_-%E3%81%A9%E3%81%85%E3%83%BC%E3%83%BB%E3%81%84%E3%81%A3%E3%81%A8%E3%83%BB%E3%82%86%E3%81%82%E3%81%9B%E3%82%8B%E3%81%B5-
10月7日 - 2023年1月3日,令和のデ・ジ・キャラット,ライデンフィルム,TOKYO MXほか,全16話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E4%BB%A4%E5%92%8C%E3%81%AE%E3%83%87%E3%83%BB%E3%82%B8%E3%83%BB%E3%82%AD%E3%83%A3%E3%83%A9%E3%83%83%E3%83%88
10月7日 - 2023年3月17日,メガトン級ムサシ シーズン2[注12 2],OLM TEAM INOUE,TOKYO MXほか,全15話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%A1%E3%82%AC%E3%83%88%E3%83%B3%E7%B4%9A%E3%83%A0%E3%82%B5%E3%82%B7
10月7日 - 12月23日,アキバ冥途戦争,P.A.WORKS,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%AD%E3%83%90%E5%86%A5%E9%80%94%E6%88%A6%E4%BA%89
10月8日 - 12月24日,聖剣伝説 Legend of Mana -The Teardrop Crystal-,グラフィニカ、横浜アニメーションラボ,MBS,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E8%81%96%E5%89%A3%E4%BC%9D%E8%AA%AC_Legend_of_Mana_-The_Teardrop_Crystal-
10月8日 - 12月24日,ジョジョの奇妙な冒険 ストーンオーシャン（第2クール）,david production,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%82%B8%E3%83%A7%E3%81%AE%E5%A5%87%E5%A6%99%E3%81%AA%E5%86%92%E9%99%BA_(%E3%83%86%E3%83%AC%E3%83%93%E3%82%A2%E3%83%8B%E3%83%A1)
10月8日 - 2023年3月4日,魔入りました!入間くん（第3期）,BNピクチャーズ,NHK Eテレ,全21話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E9%AD%94%E5%85%A5%E3%82%8A%E3%81%BE%E3%81%97%E3%81%9F!%E5%85%A5%E9%96%93%E3%81%8F%E3%82%93
10月9日 - 2023年3月26日,弱虫ペダル LIMIT BREAK,トムス・エンタテインメント,NHK総合,全25話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E5%BC%B1%E8%99%AB%E3%83%9A%E3%83%80%E3%83%AB_LIMIT_BREAK
10月9日 - 2023年3月26日,ブルーロック（第1期）,エイトビット,EX,全24話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AB%E3%83%BC%E3%83%AD%E3%83%83%E3%82%AF
10月9日 - 12月25日,ぼっち・ざ・ろっく!,CloverWorks,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%81%BC%E3%81%A3%E3%81%A1%E3%83%BB%E3%81%96%E3%83%BB%E3%82%8D%E3%81%A3%E3%81%8F!_(%E3%82%A2%E3%83%8B%E3%83%A1)
10月9日 - 12月25日,夫婦以上、恋人未満。,studio MOTHER,AT-Xほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E5%A4%AB%E5%A9%A6%E4%BB%A5%E4%B8%8A%E3%80%81%E6%81%8B%E4%BA%BA%E6%9C%AA%E6%BA%80%E3%80%82
10月10日 - 12月26日,ピーター・グリルと賢者の時間 Super Extra,ウルフズベイン、アニメーションスタジオ・セブン,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%94%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%B0%E3%83%AA%E3%83%AB%E3%81%A8%E8%B3%A2%E8%80%85%E3%81%AE%E6%99%82%E9%96%93_Super_Extra
10月11日 - 12月27日,BLEACH 千年血戦篇,studioぴえろ,TX,全13話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/BLEACH_%E5%8D%83%E5%B9%B4%E8%A1%80%E6%88%A6%E7%AF%87
10月11日 - 2023年3月28日,クールドジ男子,studioぴえろ,TX,全24話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B8%E7%94%B7%E5%AD%90
10月11日 - 2023年3月28日,永久少年 Eternal Boys,ライデンフィルム,CX,全24話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E6%B0%B8%E4%B9%85%E5%B0%91%E5%B9%B4_Eternal_Boys
10月12日 - 12月28日,チェンソーマン,MAPPA,TX,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%81%E3%82%A7%E3%83%B3%E3%82%BD%E3%83%BC%E3%83%9E%E3%83%B3
10月12日 - 12月28日,恋愛フロップス,パッショーネ,AT-Xほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E6%81%8B%E6%84%9B%E3%83%95%E3%83%AD%E3%83%83%E3%83%97%E3%82%B9
10月13日 - 12月29日,ある朝ダミーヘッドマイクになっていた俺クンの人生,インディビジョン、エカチエピルカ,TOKYO MXほか,全12話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%81%82%E3%82%8B%E6%9C%9D%E3%83%80%E3%83%9F%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%83%9E%E3%82%A4%E3%82%AF%E3%81%AB%E3%81%AA%E3%81%A3%E3%81%A6%E3%81%84%E3%81%9F%E4%BF%BA%E3%82%AF%E3%83%B3%E3%81%AE%E4%BA%BA%E7%94%9F
10月14日 - 2023年3月24日,うる星やつら（第2作 第1期）,david production,CX,全23話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%81%86%E3%82%8B%E6%98%9F%E3%82%84%E3%81%A4%E3%82%89_(%E3%82%A2%E3%83%8B%E3%83%A1)#テレビアニメ（2022年版）
10月16日 - 12月25日,4人はそれぞれウソをつく,スタジオフラッド、studioぴえろ,ABC,全11話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/4%E4%BA%BA%E3%81%AF%E3%81%9D%E3%82%8C%E3%81%9E%E3%82%8C%E3%82%A6%E3%82%BD%E3%82%92%E3%81%A4%E3%81%8F
10月23日 - 2023年3月12日,不滅のあなたへ（Season2）,ドライブ,NHK Eテレ,全20話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E4%B8%8D%E6%BB%85%E3%81%AE%E3%81%82%E3%81%AA%E3%81%9F%E3%81%B8
10月29日 - 12月17日,アークナイツ【黎明前奏/PRELUDE TO DAWN】,Yostar Pictures,TX,全8話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%BC%E3%82%AF%E3%83%8A%E3%82%A4%E3%83%84%E3%80%90%E9%BB%8E%E6%98%8E%E5%89%8D%E5%A5%8F/PRELUDE_TO_DAWN%E3%80%91
11月4日 - 2023年3月25日,「艦これ」いつかあの海で,ENGI,TOKYO MXほか,全8話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%80%8C%E8%89%A6%E3%81%93%E3%82%8C%E3%80%8D%E3%81%84%E3%81%A4%E3%81%8B%E3%81%82%E3%81%AE%E6%B5%B7%E3%81%A7
12月5日 - 2023年6月19日,僕とロボコ,ぎゃろっぷ,TX,全28話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E5%83%95%E3%81%A8%E3%83%AD%E3%83%9C%E3%82%B3
12月23日（特別番組）,ポケットモンスター 遥かなる青い空,OLM,TX,全1話,2022年 10月 - 12月[編集],https://ja.wikipedia.org/wiki/%E3%83%9D%E3%82%B1%E3%83%83%E3%83%88%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC_%E9%81%A5%E3%81%8B%E3%81%AA%E3%82%8B%E9%9D%92%E3%81%84%E7%A9%BA
1月4日 - 3月29日,文豪ストレイドッグス（第4期）,ボンズ,TOKYO MX、BS11ほか,全13話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E6%96%87%E8%B1%AA%E3%82%B9%E3%83%88%E3%83%AC%E3%82%A4%E3%83%89%E3%83%83%E3%82%B0%E3%82%B9
1月4日 - 3月22日,氷属性男子とクールな同僚女子,ゼロジー、リーベル,TOKYO MXほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E6%B0%B7%E5%B1%9E%E6%80%A7%E7%94%B7%E5%AD%90%E3%81%A8%E3%82%AF%E3%83%BC%E3%83%AB%E3%81%AA%E5%90%8C%E5%83%9A%E5%A5%B3%E5%AD%90
1月4日 - 3月22日,転生王女と天才令嬢の魔法革命,ディオメディア,AT-X、TOKYO MXほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E8%BB%A2%E7%94%9F%E7%8E%8B%E5%A5%B3%E3%81%A8%E5%A4%A9%E6%89%8D%E4%BB%A4%E5%AC%A2%E3%81%AE%E9%AD%94%E6%B3%95%E9%9D%A9%E5%91%BD
1月5日 - 3月30日,ツルネ -つながりの一射-,京都アニメーション,TOKYO MXほか,全13話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%84%E3%83%AB%E3%83%8D_-%E9%A2%A8%E8%88%9E%E9%AB%98%E6%A0%A1%E5%BC%93%E9%81%93%E9%83%A8-
1月5日 - 3月30日,テクノロイド オーバーマインド,動画工房,TX,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%86%E3%82%AF%E3%83%8E%E3%83%AD%E3%82%A4%E3%83%89
1月5日 - 3月30日,トモちゃんは女の子!,Lay-duce,TOKYO MX、BS11ほか,全13話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%A2%E3%81%A1%E3%82%83%E3%82%93%E3%81%AF%E5%A5%B3%E3%81%AE%E5%AD%90!
1月5日 - 3月23日,REVENGER,亜細亜堂,TOKYO MXほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/REVENGER
1月5日 - 3月30日,スパイ教室（1st season）,feel.,AT-Xほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%91%E3%82%A4%E6%95%99%E5%AE%A4
1月5日 - 3月23日,お兄ちゃんはおしまい!,スタジオバインド,AT-Xほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%8A%E5%85%84%E3%81%A1%E3%82%83%E3%82%93%E3%81%AF%E3%81%8A%E3%81%97%E3%81%BE%E3%81%84!
1月6日 - 3月24日,冰剣の魔術師が世界を統べる,クラウドハーツ,TBS,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E5%86%B0%E5%89%A3%E3%81%AE%E9%AD%94%E8%A1%93%E5%B8%AB%E3%81%8C%E4%B8%96%E7%95%8C%E3%82%92%E7%B5%B1%E3%81%B9%E3%82%8B
1月6日 - 3月24日,異世界のんびり農家,ゼロジー,AT-Xほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E7%95%B0%E4%B8%96%E7%95%8C%E3%81%AE%E3%82%93%E3%81%B3%E3%82%8A%E8%BE%B2%E5%AE%B6
1月6日 - 3月24日,シュガーアップル・フェアリーテイル（第1クール）,J.C.STAFF,AT-Xほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A5%E3%82%AC%E3%83%BC%E3%82%A2%E3%83%83%E3%83%97%E3%83%AB%E3%83%BB%E3%83%95%E3%82%A7%E3%82%A2%E3%83%AA%E3%83%BC%E3%83%86%E3%82%A4%E3%83%AB
1月6日 - 3月24日,にじよん あにめーしょん,サンライズ,TOKYO MXほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%AB%E3%81%98%E3%82%88%E3%82%93_%E3%81%82%E3%81%AB%E3%82%81%E3%83%BC%E3%81%97%E3%82%87%E3%82%93
1月6日 -,齢5000年の草食ドラゴン、いわれなき邪竜認定,LAN STUDIO、スターリーキューブ,TOKYO MX、BSフジほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E9%BD%A25000%E5%B9%B4%E3%81%AE%E8%8D%89%E9%A3%9F%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%80%81%E3%81%84%E3%82%8F%E3%82%8C%E3%81%AA%E3%81%8D%E9%82%AA%E7%AB%9C%E8%AA%8D%E5%AE%9A
1月7日 - 4月1日,Buddy Daddies,P.A.WORKS,TOKYO MXほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/Buddy_Daddies
1月7日 - 4月8日,ジョジョの奇妙な冒険 ストーンオーシャン（第3クール）,david production,TOKYO MXほか,全14話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%82%B8%E3%83%A7%E3%81%AE%E5%A5%87%E5%A6%99%E3%81%AA%E5%86%92%E9%99%BA_(%E3%83%86%E3%83%AC%E3%83%93%E3%82%A2%E3%83%8B%E3%83%A1)
1月7日 - 3月18日,ダンジョンに出会いを求めるのは間違っているだろうかIV 深章 厄災篇,J.C.STAFF,TOKYO MXほか,全11話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%80%E3%83%B3%E3%82%B8%E3%83%A7%E3%83%B3%E3%81%AB%E5%87%BA%E4%BC%9A%E3%81%84%E3%82%92%E6%B1%82%E3%82%81%E3%82%8B%E3%81%AE%E3%81%AF%E9%96%93%E9%81%95%E3%81%A3%E3%81%A6%E3%81%84%E3%82%8B%E3%81%A0%E3%82%8D%E3%81%86%E3%81%8B_(%E3%82%A2%E3%83%8B%E3%83%A1)
1月7日 - 3月25日,アルスの巨獣,旭プロダクション,MBS,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%82%B9%E3%81%AE%E5%B7%A8%E7%8D%A3
1月7日 - 3月25日,ツンデレ悪役令嬢リーゼロッテと実況の遠藤くんと解説の小林さん,手塚プロダクション,MBS,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%84%E3%83%B3%E3%83%87%E3%83%AC%E6%82%AA%E5%BD%B9%E4%BB%A4%E5%AC%A2%E3%83%AA%E3%83%BC%E3%82%BC%E3%83%AD%E3%83%83%E3%83%86%E3%81%A8%E5%AE%9F%E6%B3%81%E3%81%AE%E9%81%A0%E8%97%A4%E3%81%8F%E3%82%93%E3%81%A8%E8%A7%A3%E8%AA%AC%E3%81%AE%E5%B0%8F%E6%9E%97%E3%81%95%E3%82%93
1月7日 - 3月25日,犬になったら好きな人に拾われた。,Quad,TOKYO MXほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E7%8A%AC%E3%81%AB%E3%81%AA%E3%81%A3%E3%81%9F%E3%82%89%E5%A5%BD%E3%81%8D%E3%81%AA%E4%BA%BA%E3%81%AB%E6%8B%BE%E3%82%8F%E3%82%8C%E3%81%9F%E3%80%82
1月7日 - 3月25日,お隣の天使様にいつの間にか駄目人間にされていた件,project No.9,TOKYO MXほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%81%8A%E9%9A%A3%E3%81%AE%E5%A4%A9%E4%BD%BF%E6%A7%98%E3%81%AB%E3%81%84%E3%81%A4%E3%81%AE%E9%96%93%E3%81%AB%E3%81%8B%E9%A7%84%E7%9B%AE%E4%BA%BA%E9%96%93%E3%81%AB%E3%81%95%E3%82%8C%E3%81%A6%E3%81%84%E3%81%9F%E4%BB%B6
1月7日 - 3月25日,解雇された暗黒兵士（30代）のスローなセカンドライフ,エンカレッジフィルムズ,TOKYO MXほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E8%A7%A3%E9%9B%87%E3%81%95%E3%82%8C%E3%81%9F%E6%9A%97%E9%BB%92%E5%85%B5%E5%A3%AB%EF%BC%8830%E4%BB%A3%EF%BC%89%E3%81%AE%E3%82%B9%E3%83%AD%E3%83%BC%E3%81%AA%E3%82%BB%E3%82%AB%E3%83%B3%E3%83%89%E3%83%A9%E3%82%A4%E3%83%95
1月7日 - 3月25日,TRIGUN STAMPEDE,オレンジ,TX,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%A9%E3%82%A4%E3%82%AC%E3%83%B3
1月7日 - 4月1日,最強陰陽師の異世界転生記,スタジオブラン,AT-X,全13話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/%E6%9C%80%E5%BC%B7%E9%99%B0%E9%99%BD%E5%B8%AB%E3%81%AE%E7%95%B0%E4%B8%96%E7%95%8C%E8%BB%A2%E7%94%9F%E8%A8%98
1月7日 - 4月15日,UniteUp!,CloverWorks,TOKYO MXほか,全12話,2023年 1月 - 3月[編集],https://ja.wikipedia.org/wiki/UniteUp!
